House Price,House Size (s.f.)
338200,1489.867841
283000,1263.392857
267680,1211.221719
313000,1384.955752
231000,1050
321000,1452.488688
229000,1017.777778
241000,1085.585586
327000,1446.902655
226000,1027.272727
289000,1273.127753
327000,1486.363636
369000,1632.743363
278000,1241.071429
240000,1081.081081
291000,1310.810811
249000,1116.591928
260000,1176.470588
250000,1131.221719
238000,1081.818182
319000,1411.504425
364000,1639.63964
250000,1131.221719
289000,1307.692308
288000,1268.722467
254000,1139.013453
286000,1276.785714
278000,1241.071429
295000,1316.964286
348000,1574.660633
299000,1323.00885
246000,1088.495575
260000,1160.714286
249000,1121.621622
247000,1112.612613
259000,1140.969163
346000,1530.973451
329000,1462.222222
252000,1125
225000,1022.727273
286000,1259.911894
308000,1393.665158
373000,1695.454545
313000,1378.854626
374000,1684.684685
276000,1243.243243
309000,1373.333333
360000,1614.349776
223000,1013.636364
331000,1490.990991
256000,1142.857143
296000,1339.366516
376000,1678.571429
233000,1026.431718
279000,1245.535714
320000,1441.441441
252000,1120
280000,1261.261261
320000,1447.963801
281000,1260.089686
281000,1243.362832
325000,1444.444444
349000,1565.022422
379000,1714.932127
290000,1294.642857
252000,1140.271493
324000,1427.312775
230000,1045.454545
255000,1133.333333
347000,1563.063063
268000,1191.111111
228000,1022.421525
388000,1709.251101
241000,1061.674009
365000,1659.090909
328000,1457.777778
261000,1186.363636
222000,986.6666667
243000,1075.221239
384000,1699.115044
365000,1629.464286
290000,1277.53304
246000,1113.122172
268000,1191.111111
343000,1511.013216
386000,1700.440529
301000,1331.858407
277000,1236.607143
318000,1426.008969
314000,1408.071749
310000,1390.134529
347000,1570.135747
348000,1539.823009
301000,1343.75
265000,1167.400881
279000,1234.513274
241000,1090.497738
381000,1700.892857
287000,1281.25
343000,1524.444444
308000,1381.165919
228000,1008.849558
274000,1207.048458
303000,1340.707965
262000,1174.887892
223000,982.3788546
272000,1230.769231
374000,1669.642857
251000,1140.909091
300000,1321.585903
380000,1704.035874
234000,1044.642857
334000,1471.365639
219000,986.4864865
330000,1473.214286
276000,1237.668161
357000,1615.384615
289000,1284.444444
267000,1191.964286
355000,1591.928251
271000,1226.244344
325000,1463.963964
365000,1629.464286
368000,1672.727273
217000,968.75
365000,1644.144144
356000,1575.221239
301000,1331.858407
325000,1450.892857
212000,954.954955
335000,1509.009009
352000,1600
250000,1101.321586
335000,1488.888889
240000,1085.972851
293000,1302.222222
354000,1587.443946
231000,1031.25
272000,1198.237885
253000,1119.469027
292000,1286.343612
364000,1617.777778
265000,1167.400881
326000,1468.468468
226000,1000
284000,1251.101322
271000,1220.720721
235000,1058.558559
282000,1247.787611
378000,1718.181818
348000,1581.818182
381000,1678.414097
292000,1315.315315
368000,1621.145374
332000,1482.142857
281000,1237.885463
277000,1247.747748
390000,1741.071429
383000,1717.488789
300000,1327.433628
343000,1517.699115
273000,1240.909091
247000,1102.678571
233000,1059.090909
323000,1461.538462
299000,1328.888889
332000,1495.495495
247000,1092.920354
308000,1368.888889
255000,1159.090909
306000,1360
313000,1422.727273
256000,1153.153153
292000,1327.272727
270000,1227.272727
353000,1575.892857
365000,1644.144144
223000,1004.504505
273000,1207.964602
360000,1614.349776
350000,1541.85022
267000,1208.144796
313000,1391.111111
335000,1488.888889
340000,1504.424779
248000,1102.222222
342000,1513.274336
277000,1253.393665
261000,1165.178571
314000,1427.272727
227000,1022.522523
293000,1313.901345
342000,1526.785714
265000,1199.095023
282000,1258.928571
273000,1240.909091
336000,1480.176211
300000,1339.285714
326000,1455.357143
263000,1174.107143
302000,1342.222222
227000,1017.93722
308000,1368.888889
275000,1250
265000,1193.693694
276000,1232.142857
237000,1067.567568
362000,1623.318386
291000,1310.810811
307000,1376.681614
284000,1279.279279
218000,977.5784753
363000,1599.118943
257000,1162.895928
294000,1295.154185
269000,1211.711712
363000,1650
290000,1283.185841
314000,1414.414414
372000,1690.909091
239000,1052.863436
243000,1104.545455
271000,1220.720721
373000,1687.782805
330000,1453.744493
362000,1638.00905
317000,1434.38914
331000,1464.60177
221000,1000
365000,1622.222222
255000,1143.497758
255000,1159.090909
253000,1134.529148
322000,1431.111111
235000,1058.558559
313000,1378.854626
259000,1166.666667
313000,1397.321429
300000,1333.333333
273000,1240.909091
245000,1084.070796
240000,1090.909091
289000,1295.964126
238000,1067.264574
327000,1459.821429
312000,1380.530973
346000,1537.777778
352000,1550.660793
247000,1117.647059
283000,1246.696035
338000,1502.222222
308000,1362.831858
257000,1147.321429
342000,1506.60793
224000,995.5555556
