House Price,House Size (s.f.)
288200,1503
213000,1281
257680,1403
303000,1360
181000,1371
261000,1266
199000,1472
191000,1196
287000,1034
166000,1015
219000,1187
287000,1426
329000,1365
258000,1044
200000,1345
271000,1317
179000,1105
210000,1290
180000,1239
198000,1066
279000,1431
344000,1371
220000,1316
239000,1180
218000,1290
194000,1280
276000,1325
238000,1147
285000,1351
278000,1000
229000,1047
206000,1007
240000,1467
219000,1315
207000,1085
209000,1313
326000,1390
299000,1385
182000,1510
175000,1059
236000,1348
288000,1163
353000,1100
283000,1077
304000,1053
266000,1132
259000,1125
300000,1091
173000,1060
321000,1497
206000,1148
246000,1227
356000,1200
213000,1246
249000,1214
280000,1223
222000,1034
220000,1440
290000,1272
251000,1372
241000,1056
315000,1306
339000,1350
309000,1225
250000,1507
192000,1231
264000,1407
220000,1017
195000,1185
277000,1319
258000,1504
198000,1371
358000,1025
171000,1129
295000,1478
258000,1171
221000,1320
212000,1284
223000,1028
364000,1222
335000,1117
280000,1265
236000,1328
218000,1471
273000,1051
366000,1492
251000,1284
237000,1399
258000,1348
304000,1502
260000,1275
337000,1464
278000,1277
241000,1320
245000,1440
239000,1142
201000,1002
331000,1163
237000,1399
293000,1247
298000,1149
188000,1295
254000,1159
233000,1408
232000,1218
153000,1372
212000,1184
354000,1486
231000,1082
240000,1457
340000,1144
224000,1173
284000,1339
179000,1221
310000,1071
256000,1506
287000,1442
259000,1202
237000,1002
285000,1498
211000,1071
255000,1039
355000,1337
318000,1507
167000,1022
305000,1088
336000,1045
281000,1468
265000,1384
172000,1122
265000,1296
302000,1197
220000,1226
315000,1108
210000,1311
283000,1416
284000,1277
181000,1068
252000,1220
213000,1201
242000,1453
324000,1061
225000,1130
316000,1163
186000,1249
264000,1461
231000,1058
165000,1138
252000,1136
358000,1486
298000,1008
371000,1273
272000,1035
318000,1010
292000,1370
271000,1467
267000,1421
320000,1036
333000,1080
240000,1459
323000,1287
243000,1230
207000,1097
183000,1365
263000,1176
249000,1098
272000,1306
237000,1359
298000,1143
235000,1055
236000,1362
263000,1066
246000,1375
252000,1008
210000,1242
303000,1045
325000,1461
153000,1053
233000,1349
330000,1126
320000,1015
227000,1035
273000,1102
275000,1005
320000,1014
238000,1300
292000,1453
237000,1485
231000,1467
254000,1403
157000,1205
283000,1339
292000,1494
235000,1049
262000,1013
213000,1143
316000,1267
290000,1374
256000,1497
193000,1215
252000,1320
197000,1019
268000,1258
255000,1269
215000,1508
206000,1185
167000,1402
352000,1009
241000,1488
267000,1238
254000,1002
148000,1137
313000,1079
227000,1305
234000,1086
209000,1375
333000,1428
280000,1296
254000,1249
342000,1497
219000,1050
213000,1102
221000,1383
333000,1313
290000,1073
322000,1483
277000,1240
261000,1206
171000,1489
325000,1459
215000,1161
185000,1130
203000,1107
252000,1291
185000,1335
293000,1132
239000,1262
283000,1164
250000,1495
203000,1410
215000,1430
190000,1111
279000,1188
198000,1353
257000,1177
302000,1177
326000,1474
282000,1336
197000,1287
233000,1296
328000,1455
268000,1241
217000,1354
292000,1269
194000,1014
290000,1479
170000,1267
282000,1308
329000,1402
232000,1026
299000,1385
257000,1458
179000,1039
213000,1078
235000,1504
270000,1257
344000,1278
254000,1106
265000,1438
211000,1043
276000,1473
244000,1107
219000,1400
253000,1222
234000,1336
188000,1290
326000,1346
206000,1219
227000,1098
158000,1117
253000,1143
300000,1171
332000,1120
170000,1378
313000,1065
330000,1369
173000,1141
258000,1035
212000,1268
311000,1060
234000,1146
205000,1154
318000,1179
301000,1113
255000,1492
267000,1133
252000,1046
221000,1333
295000,1279
222000,1078
168000,1172
342000,1100
250000,1393
205000,1288
242000,1029
216000,1135
249000,1192
251000,1363
246000,1183
192000,1291
285000,1127
344000,1444
274000,1073
231000,1363
236000,1403
209000,1262
186000,1425
223000,1396
336000,1148
350000,1463
242000,1287
273000,1288
252000,1017
315000,1429
241000,1037
234000,1151
281000,1476
211000,1063
281000,1158
358000,1342
235000,1222
161000,1285
322000,1179
266000,1410
347000,1007
240000,1407
323000,1108
334000,1285
265000,1372
271000,1186
287000,1235
298000,1399
346000,1417
233000,1197
275000,1039
175000,1134
196000,1211
223000,1278
173000,1049
202000,1047
302000,1312
266000,1301
332000,1209
250000,1403
340000,1363
265000,1230
271000,1465
253000,1008
282000,1472
244000,1451
261000,1106
243000,1357
237000,1204
249000,1357
176000,1060
177000,1094
243000,1194
279000,1112
195000,1316
247000,1266
366000,1169
353000,1502
213000,1241
274000,1139
245000,1501
226000,1023
300000,1153
224000,1262
155000,1341
250000,1013
313000,1104
274000,1369
211000,1164
332000,1302
236000,1153
297000,1434
255000,1269
346000,1203
161000,1412
